station_ID,complex_ID,gtfs_ID,line,stop_name,borough,routes,structure,gtfs_lat,gtfs_lon,visited,285
LINE,5,6,Astoria,,,,,,,,
1,1,R01,BMT Astoria,Astoria–Ditmars Boulevard,Queens,"N,W",Elevated,40.775036,-73.912034,yes,
2,2,R03,BMT Astoria,Astoria Boulevard,Queens,"N,W",Elevated,40.770258,-73.917843,yes,
3,3,R04,BMT Astoria,30th Avenue,Queens,"N,W",Elevated,40.766779,-73.921479,yes,
4,4,R05,BMT Astoria,Broadway,Queens,"N,W",Elevated,40.761820,-73.925508,yes,
5,5,R06,BMT Astoria,36th Avenue,Queens,"N,W",Elevated,40.756804,-73.929575,yes,
6,6,R08,BMT Astoria,39th Avenue,Queens,"N,W",Elevated,40.752882,-73.932755,no,
LINE,14,17,Broadway,,,,,,,,
7,613,R11,BMT Broadway,Lexington Avenue–59th Street,Manhattan,"N,W,R",Subway,40.762660,-73.967258,yes,
8,8,R13,BMT Broadway,5th Avenue–59th Street,Manhattan,"N,W,R",Subway,40.764811,-73.973347,yes,
9,9,R14,BMT Broadway,57th Street–7th Avenue,Manhattan,"N,Q,R,W",Subway,40.764664,-73.980658,yes,
10,10,R15,BMT Broadway,49th Street,Manhattan,"N,R,W",Subway,40.759901,-73.984139,yes,
11,611,R16,BMT Broadway,Times Square–42nd Street,Manhattan,"N,Q,R,W",Subway,40.754672,-73.986754,yes,
12,607,R17,BMT Broadway,34th Street–Herald Square,Manhattan,"N,Q,R,W",Subway,40.749567,-73.987950,yes,
13,13,R18,BMT Broadway,28th Street,Manhattan,"R,W",Subway,40.745494,-73.988691,no,
14,14,R19,BMT Broadway,23rd Street,Manhattan,"R,W",Subway,40.741303,-73.989344,yes,
15,602,R20,BMT Broadway,14th Street–Union Square,Manhattan,"N,Q,R,W",Subway,40.735736,-73.990568,yes,
16,16,R21,BMT Broadway,8th Street–New York University,Manhattan,"R,W",Subway,40.730328,-73.992629,yes,
17,17,R22,BMT Broadway,Prince Street,Manhattan,"R,W",Subway,40.724329,-73.997702,yes,
18,623,R23,BMT Broadway,Canal Street,Manhattan,"R,W",Subway,40.719527,-74.001775,yes,
19,623,Q01,BMT Broadway,Canal Street,Manhattan,"N,Q",Subway,40.718383,-74.000460,yes,
20,20,R24,BMT Broadway,City Hall,Manhattan,"R,W",Subway,40.713282,-74.006978,no,
21,21,R25,BMT Broadway,Cortlandt Street,Manhattan,"R,W",Subway,40.710668,-74.011029,no,
22,22,R26,BMT Broadway,Rector Street,Manhattan,"R,W",Subway,40.707220,-74.013342,yes,
